Record_ID,Industry,Organization_Size,Leadership_Function,AI_Maturity_Level,Agent_Type,Use_Case_Area,Agent_Autonomy_Level,Decision_Making_Type,Context_Awareness_Score,Task_Complexity_Level,Human_Oversight_Level,Explainability_Level,Data_Privacy_Compliance,Integration_Level,Task_Success_Rate,Response_Time_Seconds,Productivity_Improvement_Percent,Leadership_Trust_Score,Adoption_Success_Level
AAI-01709,Healthcare,Large,Operations,Developing,Executive Assistant Agent,Process Automation,High,Hybrid,57.8,Complex,Medium,Medium,Yes,Enterprise-wide,74.2,10.11,16.4,54.2,Medium
AAI-01710,Professional Services,Small,Strategy,Developing,Decision Support Agent,Scenario Planning,High,ML-based,60.0,Complex,Low,Low,Yes,Standalone,73.8,14.34,13.1,53.0,Medium
AAI-01711,Education,Medium,Marketing,Early,Talent Intelligence Agent,Content Personalization,Low,Hybrid,42.4,Simple,High,High,Yes,API-based,71.9,4.26,8.0,76.2,Medium
AAI-01712,Financial Services,Large,Customer Experience,Developing,Talent Intelligence Agent,Feedback Analysis,Medium,ML-based,69.1,Complex,High,Low,Yes,API-based,53.1,10.87,4.0,47.2,Medium
AAI-01713,Retail,Large,Finance,Developing,Decision Support Agent,Expense Control,Medium,Hybrid,54.5,Moderate,Medium,Medium,Yes,API-based,69.3,7.87,11.4,67.2,Medium
AAI-01714,Healthcare,Small,Customer Experience,Developing,Procurement Agent,Escalation Routing,Medium,Rule-based,46.0,Moderate,Medium,High,Yes,Standalone,79.0,13.63,10.4,75.0,Medium
AAI-01715,Technology,Large,IT,Advanced,Workflow Automation Agent,System Monitoring,Medium,ML-based,75.3,Moderate,Medium,Low,Yes,Enterprise-wide,86.4,4.6,20.7,66.0,Medium
AAI-01716,Financial Services,Large,Marketing,Early,Executive Assistant Agent,Market Analysis,Low,Rule-based,33.7,Simple,High,High,Yes,API-based,67.7,4.13,9.5,81.5,Medium
AAI-01717,Telecommunications,Large,Human Resources,Leading,Executive Assistant Agent,Talent Screening,Medium,ML-based,60.1,Moderate,Low,Low,Yes,Enterprise-wide,76.0,4.88,12.7,58.5,Medium
AAI-01718,Technology,Enterprise,CEO Office,Developing,Workflow Automation Agent,Leadership Briefing,Low,Rule-based,31.6,Moderate,High,High,Yes,Enterprise-wide,70.8,4.7,12.3,76.1,Medium
AAI-01719,Education,Medium,Human Resources,Leading,Workflow Automation Agent,Workforce Planning,High,Rule-based,61.0,Moderate,Low,Medium,Yes,API-based,84.3,5.88,15.6,67.3,High
AAI-01720,Government,Large,Operations,Leading,Risk Monitoring Agent,Operational Monitoring,High,Rule-based,68.1,Moderate,Low,Medium,Yes,Enterprise-wide,94.6,8.58,20.3,62.0,High
AAI-01721,Energy,Large,CEO Office,Developing,Workflow Automation Agent,Executive Reporting,Medium,ML-based,53.6,Simple,Low,Medium,No,Standalone,63.3,4.67,4.7,33.9,Low
AAI-01722,Financial Services,Large,Human Resources,Early,Workflow Automation Agent,Employee Support,Low,Rule-based,21.0,Simple,High,High,Yes,API-based,76.7,4.59,11.3,78.9,Medium
AAI-01723,Retail,Medium,IT,Advanced,Customer Experience Agent,Incident Triage,Medium,Hybrid,58.9,Moderate,Medium,Medium,Yes,API-based,82.3,6.29,15.3,65.4,Medium
AAI-01724,Technology,Enterprise,Operations,Advanced,Decision Support Agent,Operational Monitoring,High,Rule-based,58.3,Moderate,Low,Medium,Yes,Enterprise-wide,85.9,6.97,20.3,54.9,High
AAI-01725,Technology,Medium,Operations,Early,Decision Support Agent,Process Automation,Medium,Hybrid,55.4,Moderate,Medium,Medium,No,API-based,69.6,8.46,11.4,54.3,Low
AAI-01726,Technology,Medium,Human Resources,Early,Decision Support Agent,Workforce Planning,Low,ML-based,40.6,Moderate,High,Medium,Yes,Standalone,52.0,7.16,1.5,53.5,Low
AAI-01727,Healthcare,Large,Operations,Developing,Knowledge Management Agent,Demand Forecasting,Medium,ML-based,58.8,Moderate,Low,Medium,Yes,API-based,68.8,6.87,11.7,59.0,Medium
AAI-01728,Professional Services,Large,Human Resources,Advanced,Workflow Automation Agent,Employee Support,High,Hybrid,73.0,Moderate,Low,Medium,Yes,API-based,95.5,9.6,23.6,73.8,High
AAI-01729,Manufacturing,Large,Finance,Early,Risk Monitoring Agent,Financial Forecasting,Medium,ML-based,45.3,Simple,Medium,Medium,No,Standalone,63.0,7.22,4.9,37.9,Low
AAI-01730,Telecommunications,Enterprise,Marketing,Developing,Workflow Automation Agent,Market Analysis,High,Rule-based,42.9,Moderate,Low,Medium,Yes,Enterprise-wide,82.0,7.4,19.3,66.2,High
AAI-01731,Healthcare,Large,Operations,Developing,Decision Support Agent,Operational Monitoring,High,Rule-based,68.9,Moderate,Low,Medium,Yes,Enterprise-wide,82.7,8.88,22.5,71.9,High
AAI-01732,Healthcare,Small,Strategy,Developing,Knowledge Management Agent,Strategic Planning,Low,Rule-based,30.3,Simple,High,High,Yes,API-based,85.3,4.95,12.0,84.3,High
AAI-01733,Telecommunications,Small,Customer Experience,Developing,Strategy Insights Agent,Customer Support,Medium,Hybrid,62.6,Moderate,High,Medium,Yes,Enterprise-wide,74.5,8.09,13.0,70.7,Medium
AAI-01734,Logistics,Small,Operations,Advanced,Finance Operations Agent,Workflow Orchestration,Medium,ML-based,68.3,Moderate,Low,Medium,Yes,API-based,74.1,7.78,15.5,56.9,Medium
AAI-01735,Technology,Medium,Operations,Early,Talent Intelligence Agent,Operational Monitoring,Low,Rule-based,26.7,Simple,High,High,No,Standalone,53.2,6.08,1.5,47.8,Low
AAI-01736,Healthcare,Enterprise,Human Resources,Advanced,Knowledge Management Agent,Workforce Planning,High,Hybrid,74.0,Complex,Low,Low,Yes,Enterprise-wide,81.5,7.46,22.2,53.2,High
AAI-01737,Telecommunications,Large,Strategy,Developing,Decision Support Agent,Competitive Intelligence,High,Hybrid,58.8,Complex,Low,Medium,Yes,API-based,79.6,11.25,17.1,48.8,Medium
AAI-01738,Government,Small,Strategy,Developing,Executive Assistant Agent,Market Analysis,Medium,Hybrid,70.7,Moderate,Medium,Medium,Yes,Standalone,67.7,8.24,8.3,65.3,Medium
AAI-01739,Technology,Medium,CEO Office,Developing,Decision Support Agent,Strategic Planning,Low,ML-based,46.5,Moderate,High,Medium,No,Standalone,48.0,8.28,1.5,35.6,Low
AAI-01740,Education,Large,Marketing,Early,Talent Intelligence Agent,Campaign Optimization,Low,Hybrid,30.3,Simple,High,Medium,No,Standalone,51.1,6.06,1.5,57.4,Low
AAI-01741,Manufacturing,Medium,Customer Experience,Developing,Decision Support Agent,Escalation Routing,High,Hybrid,58.5,Moderate,Medium,Medium,Yes,API-based,79.6,7.47,17.8,67.3,Medium
AAI-01742,Manufacturing,Medium,IT,Early,Risk Monitoring Agent,System Monitoring,Low,Rule-based,21.2,Simple,High,High,Yes,Standalone,54.7,4.23,1.5,73.3,Medium
AAI-01743,Government,Medium,Customer Experience,Advanced,Strategy Insights Agent,Customer Support,High,ML-based,66.2,Moderate,Medium,Low,No,API-based,73.2,9.18,15.5,34.9,Medium
AAI-01744,Government,Medium,Operations,Developing,Workflow Automation Agent,Operational Monitoring,High,Hybrid,56.0,Moderate,Low,Medium,No,API-based,68.1,5.7,16.9,48.1,Medium
AAI-01745,Financial Services,Large,Operations,Early,Knowledge Management Agent,Operational Monitoring,Low,ML-based,45.4,Simple,High,Medium,Yes,API-based,77.8,3.6,12.8,68.2,Low
AAI-01746,Technology,Enterprise,CEO Office,Early,Workflow Automation Agent,Cross-Functional Coordination,Medium,Hybrid,54.3,Complex,Medium,Medium,No,API-based,53.7,9.45,5.5,38.3,Low
AAI-01747,Telecommunications,Small,IT,Leading,Knowledge Management Agent,Knowledge Retrieval,High,Hybrid,76.4,Complex,Low,Medium,Yes,Standalone,80.5,12.59,15.0,69.6,Medium
AAI-01748,Technology,Large,IT,Developing,Risk Monitoring Agent,Knowledge Retrieval,Low,Rule-based,38.5,Simple,High,High,Yes,Enterprise-wide,73.6,4.79,11.5,73.6,Medium
AAI-01749,Healthcare,Enterprise,Marketing,Early,Workflow Automation Agent,Content Personalization,Medium,Hybrid,44.0,Simple,Medium,Medium,Yes,API-based,81.3,3.63,17.2,85.4,Medium
AAI-01750,Retail,Enterprise,Strategy,Developing,Executive Assistant Agent,Scenario Planning,Medium,Hybrid,63.0,Moderate,Low,Medium,Yes,API-based,69.7,8.9,8.9,71.8,Medium
AAI-01751,Retail,Medium,Risk & Compliance,Early,Knowledge Management Agent,Policy Monitoring,Low,Hybrid,33.4,Simple,High,High,No,Standalone,52.8,5.65,1.5,49.3,Low
AAI-01752,Retail,Enterprise,Marketing,Advanced,Knowledge Management Agent,Lead Qualification,Medium,Rule-based,49.9,Simple,Medium,High,No,Enterprise-wide,79.2,4.67,13.3,70.3,High
AAI-01753,Telecommunications,Medium,Operations,Advanced,Decision Support Agent,Operational Monitoring,High,ML-based,80.0,Complex,Low,Medium,Yes,API-based,79.9,13.89,20.3,62.2,High
AAI-01754,Technology,Enterprise,IT,Developing,Executive Assistant Agent,Service Desk Automation,Medium,Hybrid,54.7,Moderate,Medium,Medium,Yes,Enterprise-wide,62.8,7.57,10.7,63.3,Medium
AAI-01755,Logistics,Enterprise,Finance,Advanced,Talent Intelligence Agent,Procurement Optimization,Medium,ML-based,52.7,Moderate,Medium,Medium,Yes,Enterprise-wide,90.0,7.59,19.8,77.4,High
AAI-01756,Manufacturing,Medium,Strategy,Developing,Workflow Automation Agent,Strategic Planning,Medium,Rule-based,43.7,Moderate,High,Medium,No,Standalone,53.0,7.32,4.8,44.2,Low
AAI-01757,Professional Services,Large,Human Resources,Early,Decision Support Agent,Employee Support,Low,Rule-based,35.9,Simple,High,High,Yes,Enterprise-wide,69.3,7.2,7.7,82.5,Medium
AAI-01758,Retail,Small,Operations,Early,Talent Intelligence Agent,Process Automation,Low,Hybrid,48.8,Simple,High,High,Yes,Standalone,74.1,4.21,5.9,80.3,Medium
AAI-01759,Education,Enterprise,Marketing,Leading,Knowledge Management Agent,Market Analysis,Medium,Rule-based,57.9,Moderate,Low,Medium,Yes,Enterprise-wide,89.4,8.15,17.5,70.2,High
AAI-01760,Education,Enterprise,Human Resources,Developing,Procurement Agent,Talent Screening,Medium,Hybrid,55.1,Moderate,Low,Low,Yes,Enterprise-wide,79.4,6.53,14.6,58.9,Medium
AAI-01761,Telecommunications,Enterprise,Marketing,Advanced,Knowledge Management Agent,Lead Qualification,High,ML-based,68.4,Complex,Low,Low,Yes,Enterprise-wide,79.2,12.77,15.3,53.4,Medium
AAI-01762,Government,Large,IT,Developing,Knowledge Management Agent,Knowledge Retrieval,Medium,Hybrid,62.3,Moderate,High,Medium,Yes,API-based,73.1,10.92,15.4,70.9,Medium
AAI-01763,Financial Services,Medium,Operations,Advanced,Strategy Insights Agent,Demand Forecasting,High,Hybrid,80.7,Complex,Low,Medium,Yes,Standalone,79.3,16.02,16.9,64.6,Medium
AAI-01764,Retail,Small,IT,Developing,Strategy Insights Agent,System Monitoring,High,Hybrid,60.2,Moderate,Low,Medium,Yes,Standalone,77.4,10.21,13.1,55.9,Medium
AAI-01765,Energy,Medium,Marketing,Advanced,Procurement Agent,Market Analysis,High,ML-based,54.5,Moderate,Low,Low,Yes,Enterprise-wide,80.5,7.49,19.8,52.4,High
AAI-01766,Manufacturing,Enterprise,Operations,Developing,Risk Monitoring Agent,Workflow Orchestration,Medium,Rule-based,35.9,Simple,Medium,Medium,Yes,Enterprise-wide,81.8,5.62,18.3,72.4,High
AAI-01767,Technology,Small,Operations,Early,Risk Monitoring Agent,Process Automation,Medium,Hybrid,47.7,Simple,Low,High,No,Standalone,59.9,6.72,5.8,57.9,Low
AAI-01768,Manufacturing,Large,Operations,Developing,Decision Support Agent,Operational Monitoring,Medium,ML-based,51.3,Simple,High,Medium,Yes,Enterprise-wide,79.2,6.47,15.7,65.7,Medium
AAI-01769,Technology,Enterprise,CEO Office,Advanced,Workflow Automation Agent,Executive Reporting,High,Hybrid,69.9,Complex,Low,Medium,No,Enterprise-wide,72.1,8.72,15.9,46.1,Medium
AAI-01770,Financial Services,Small,Customer Experience,Early,Customer Experience Agent,Escalation Routing,Medium,ML-based,43.6,Moderate,High,Medium,Yes,API-based,74.6,8.24,16.0,72.0,Medium
AAI-01771,Professional Services,Large,Strategy,Developing,Workflow Automation Agent,Scenario Planning,Medium,ML-based,52.0,Simple,Medium,Medium,Yes,Enterprise-wide,79.3,3.57,16.0,56.3,Medium
AAI-01772,Financial Services,Enterprise,Marketing,Early,Knowledge Management Agent,Campaign Optimization,Low,ML-based,21.6,Simple,High,Medium,Yes,API-based,60.6,4.2,11.3,76.6,Medium
AAI-01773,Technology,Small,Strategy,Developing,Executive Assistant Agent,Strategic Planning,Medium,Rule-based,44.1,Simple,Low,High,No,API-based,82.4,6.33,16.0,46.4,Medium
AAI-01774,Telecommunications,Small,Risk & Compliance,Developing,Knowledge Management Agent,Regulatory Reporting,Medium,Hybrid,50.0,Moderate,Medium,Medium,Yes,Standalone,65.8,6.54,6.6,55.5,Medium
AAI-01775,Financial Services,Enterprise,Risk & Compliance,Leading,Customer Experience Agent,Risk Assessment,High,Hybrid,80.8,Complex,Low,Low,Yes,Enterprise-wide,81.1,9.82,22.1,57.4,High
AAI-01776,Retail,Small,Finance,Advanced,Workflow Automation Agent,Financial Forecasting,High,Rule-based,65.9,Complex,Low,Medium,No,Standalone,75.0,10.82,11.5,41.6,Low
AAI-01777,Government,Large,Strategy,Early,Workflow Automation Agent,Scenario Planning,Low,Hybrid,35.1,Simple,High,High,Yes,API-based,71.4,4.47,8.7,80.6,Medium
AAI-01778,Education,Small,CEO Office,Early,Strategy Insights Agent,Executive Reporting,Low,Rule-based,20.0,Simple,High,High,Yes,Standalone,55.7,4.18,1.5,72.3,Medium
AAI-01779,Education,Enterprise,Operations,Early,Workflow Automation Agent,Process Automation,Low,Rule-based,21.3,Simple,High,High,Yes,Standalone,70.8,3.49,7.0,73.1,Low
AAI-01780,Retail,Small,CEO Office,Early,Workflow Automation Agent,Cross-Functional Coordination,Low,Rule-based,26.3,Simple,High,High,No,Standalone,63.2,5.22,5.7,60.5,Low
AAI-01781,Government,Small,Marketing,Developing,Customer Experience Agent,Lead Qualification,Low,ML-based,40.3,Simple,High,High,Yes,Standalone,65.4,7.66,4.6,75.1,Medium
AAI-01782,Healthcare,Enterprise,Marketing,Early,Decision Support Agent,Content Personalization,Low,Hybrid,53.0,Moderate,High,Medium,No,API-based,60.0,8.01,4.3,47.1,Low
AAI-01783,Telecommunications,Small,Finance,Advanced,Executive Assistant Agent,Expense Control,Medium,Hybrid,61.1,Moderate,Medium,Medium,Yes,API-based,75.9,7.54,14.7,65.7,Medium
AAI-01784,Energy,Medium,Operations,Developing,Knowledge Management Agent,Process Automation,Medium,Rule-based,50.3,Moderate,Medium,Medium,Yes,Standalone,80.2,10.68,15.4,74.7,Medium
AAI-01785,Technology,Small,Human Resources,Advanced,Decision Support Agent,Learning & Development,High,ML-based,72.6,Moderate,Low,Low,Yes,API-based,91.7,10.59,21.9,58.1,Medium
AAI-01786,Retail,Small,CEO Office,Advanced,Finance Operations Agent,Executive Reporting,High,Hybrid,70.8,Complex,Low,Low,Yes,Standalone,60.7,12.35,11.1,47.7,Medium
AAI-01787,Telecommunications,Enterprise,Finance,Advanced,Customer Experience Agent,Expense Control,Medium,ML-based,51.9,Moderate,Medium,Medium,Yes,Enterprise-wide,84.2,6.9,17.9,66.2,High
AAI-01788,Healthcare,Large,Operations,Early,Finance Operations Agent,Demand Forecasting,Low,Hybrid,23.3,Simple,High,High,Yes,Standalone,70.0,4.84,10.4,70.8,Low
AAI-01789,Government,Medium,Marketing,Advanced,Workflow Automation Agent,Content Personalization,Medium,Hybrid,58.1,Simple,Medium,Medium,No,Standalone,78.4,3.11,14.1,55.6,Medium
AAI-01790,Financial Services,Large,IT,Advanced,Decision Support Agent,Incident Triage,High,ML-based,77.0,Moderate,Low,Medium,No,Enterprise-wide,78.2,8.35,19.2,44.0,High
AAI-01791,Professional Services,Medium,Strategy,Early,Workflow Automation Agent,Market Analysis,Medium,Rule-based,35.0,Moderate,Medium,Medium,No,Standalone,51.3,6.96,2.7,40.2,Low
AAI-01792,Manufacturing,Medium,Marketing,Developing,Executive Assistant Agent,Content Personalization,Medium,Hybrid,53.5,Moderate,Medium,Medium,Yes,API-based,76.1,8.29,12.7,76.8,Medium
AAI-01793,Professional Services,Large,Marketing,Developing,Executive Assistant Agent,Campaign Optimization,Low,ML-based,34.3,Simple,High,Medium,Yes,Enterprise-wide,78.1,5.01,13.3,75.7,Medium
AAI-01794,Manufacturing,Medium,Strategy,Developing,Risk Monitoring Agent,Strategic Planning,High,ML-based,57.2,Moderate,Low,Low,Yes,API-based,71.8,9.23,14.0,48.8,Medium
AAI-01795,Technology,Medium,Human Resources,Advanced,Finance Operations Agent,Talent Screening,High,ML-based,58.1,Complex,Low,Low,No,API-based,69.4,9.81,13.8,27.7,Low
AAI-01796,Technology,Large,Marketing,Developing,Workflow Automation Agent,Campaign Optimization,Medium,ML-based,46.9,Moderate,Low,Medium,No,API-based,67.3,8.11,9.2,36.3,Medium
AAI-01797,Healthcare,Medium,Strategy,Early,Knowledge Management Agent,Scenario Planning,Low,Rule-based,36.2,Moderate,High,High,Yes,API-based,67.3,6.24,10.1,80.6,Medium
AAI-01798,Education,Small,Risk & Compliance,Developing,Decision Support Agent,Fraud Detection,High,Rule-based,57.7,Complex,Low,Medium,Yes,Standalone,73.6,12.9,14.8,57.1,Medium
AAI-01799,Government,Large,Finance,Developing,Knowledge Management Agent,Budgeting,Medium,ML-based,55.6,Moderate,Medium,Medium,Yes,API-based,88.6,8.9,15.3,57.9,Medium
AAI-01800,Retail,Enterprise,Operations,Advanced,Procurement Agent,Demand Forecasting,High,Hybrid,77.3,Moderate,Low,Medium,Yes,Enterprise-wide,83.8,7.83,21.7,61.2,High
AAI-01801,Retail,Medium,Human Resources,Developing,Customer Experience Agent,Employee Support,High,Hybrid,68.9,Complex,Low,Medium,No,API-based,59.5,12.15,10.8,44.2,Medium
AAI-01802,Government,Large,Strategy,Early,Executive Assistant Agent,Market Analysis,Medium,Rule-based,40.3,Moderate,Medium,High,No,API-based,73.4,6.93,10.4,54.7,Medium
AAI-01803,Education,Small,Operations,Early,Decision Support Agent,Process Automation,Medium,Rule-based,39.9,Simple,Medium,Medium,Yes,Standalone,64.7,8.16,9.0,72.2,Medium
AAI-01804,Financial Services,Medium,Marketing,Advanced,Workflow Automation Agent,Campaign Optimization,High,Rule-based,56.1,Complex,Low,Medium,Yes,Standalone,81.1,12.39,17.8,54.0,Medium
AAI-01805,Retail,Medium,Human Resources,Advanced,Knowledge Management Agent,Workforce Planning,Medium,Hybrid,61.9,Moderate,High,Medium,No,Enterprise-wide,79.4,2.36,15.3,51.3,Medium
AAI-01806,Retail,Small,Risk & Compliance,Developing,Procurement Agent,Regulatory Reporting,Medium,Rule-based,40.0,Moderate,Low,Medium,Yes,API-based,79.3,5.96,17.4,69.9,Medium
AAI-01807,Retail,Small,Marketing,Leading,Knowledge Management Agent,Content Personalization,High,ML-based,61.8,Complex,Low,Low,Yes,Enterprise-wide,81.2,10.48,22.5,51.4,High
AAI-01808,Education,Small,Marketing,Early,Decision Support Agent,Market Analysis,Medium,Hybrid,48.6,Simple,Medium,Medium,Yes,API-based,71.2,4.92,11.6,61.4,Medium
AAI-01809,Technology,Medium,Finance,Advanced,Workflow Automation Agent,Financial Forecasting,High,Hybrid,68.6,Complex,Low,Low,No,Enterprise-wide,63.3,10.09,13.2,37.2,Medium
AAI-01810,Education,Medium,Human Resources,Developing,Workflow Automation Agent,Workforce Planning,Medium,ML-based,53.8,Simple,Low,Medium,Yes,Standalone,66.6,5.63,9.3,49.6,Medium
AAI-01811,Energy,Enterprise,IT,Developing,Decision Support Agent,Incident Triage,Medium,Hybrid,45.1,Moderate,Low,Medium,Yes,Enterprise-wide,73.2,7.78,11.0,51.2,Medium
AAI-01812,Healthcare,Enterprise,Human Resources,Advanced,Decision Support Agent,Workforce Planning,High,ML-based,57.5,Moderate,Medium,Medium,Yes,API-based,87.1,11.14,17.9,62.0,Medium
AAI-01813,Logistics,Medium,Finance,Advanced,Customer Experience Agent,Financial Forecasting,Medium,Rule-based,55.0,Moderate,Low,Medium,Yes,API-based,82.5,6.1,17.7,70.0,Medium
AAI-01814,Technology,Large,Marketing,Early,Knowledge Management Agent,Market Analysis,Low,Rule-based,40.2,Simple,High,High,No,API-based,53.3,4.61,2.0,50.4,Low
AAI-01815,Retail,Small,Operations,Advanced,Risk Monitoring Agent,Workflow Orchestration,High,Hybrid,63.3,Moderate,Low,Medium,Yes,API-based,80.0,5.46,16.4,67.4,High
AAI-01816,Healthcare,Large,Finance,Developing,Strategy Insights Agent,Financial Forecasting,Medium,Rule-based,49.5,Moderate,High,High,Yes,API-based,71.7,7.19,10.3,75.5,Medium
AAI-01817,Healthcare,Large,Risk & Compliance,Developing,Executive Assistant Agent,Policy Monitoring,Low,Rule-based,27.8,Simple,High,High,Yes,API-based,75.5,5.06,8.3,76.5,Medium
AAI-01818,Technology,Large,Operations,Advanced,Workflow Automation Agent,Workflow Orchestration,Medium,Hybrid,78.3,Moderate,High,Medium,Yes,Enterprise-wide,89.7,6.5,23.5,80.7,High
AAI-01819,Healthcare,Medium,Marketing,Developing,Executive Assistant Agent,Lead Qualification,High,Rule-based,38.7,Moderate,Low,Medium,Yes,Standalone,69.1,7.3,14.9,52.4,Medium
AAI-01820,Professional Services,Medium,Strategy,Developing,Decision Support Agent,Strategic Planning,High,Rule-based,56.6,Complex,Low,Medium,Yes,API-based,65.0,10.13,9.8,59.4,Medium
AAI-01821,Manufacturing,Small,Operations,Leading,Decision Support Agent,Workflow Orchestration,High,Hybrid,80.4,Complex,Low,Low,Yes,Enterprise-wide,76.6,11.39,17.3,50.9,Medium
AAI-01822,Financial Services,Medium,Operations,Developing,Customer Experience Agent,Process Automation,High,Hybrid,54.8,Moderate,Low,Medium,Yes,API-based,85.3,6.12,19.2,61.3,Medium
AAI-01823,Manufacturing,Large,Customer Experience,Developing,Strategy Insights Agent,Customer Support,Low,Hybrid,43.4,Simple,High,High,No,Enterprise-wide,60.3,2.11,6.0,44.4,Medium
AAI-01824,Telecommunications,Enterprise,Human Resources,Developing,Risk Monitoring Agent,Talent Screening,Low,Hybrid,51.0,Moderate,High,High,Yes,Standalone,68.7,7.21,4.2,78.1,Medium
AAI-01825,Retail,Medium,Finance,Early,Executive Assistant Agent,Financial Forecasting,Low,Rule-based,20.0,Simple,High,High,Yes,API-based,73.1,5.01,7.9,76.9,Medium
AAI-01826,Professional Services,Small,Customer Experience,Advanced,Workflow Automation Agent,Feedback Analysis,High,ML-based,77.3,Moderate,Low,Low,Yes,Standalone,57.6,10.05,11.2,39.2,Medium
AAI-01827,Financial Services,Small,IT,Advanced,Decision Support Agent,Knowledge Retrieval,Medium,ML-based,62.0,Moderate,High,Medium,Yes,Standalone,81.2,9.88,16.3,66.0,Medium
AAI-01828,Financial Services,Enterprise,Operations,Early,Decision Support Agent,Workflow Orchestration,Medium,Hybrid,37.8,Moderate,Low,Medium,Yes,API-based,65.7,7.63,10.7,57.3,Medium
AAI-01829,Energy,Medium,Customer Experience,Developing,Workflow Automation Agent,Feedback Analysis,High,ML-based,56.8,Moderate,Low,Low,No,API-based,64.7,8.1,10.4,33.4,Low
AAI-01830,Government,Small,Operations,Developing,Executive Assistant Agent,Demand Forecasting,Low,Hybrid,43.2,Simple,High,High,Yes,API-based,96.6,4.95,21.7,96.5,Medium
AAI-01831,Logistics,Small,CEO Office,Developing,Talent Intelligence Agent,Executive Reporting,Medium,Hybrid,69.4,Moderate,Medium,Medium,Yes,Standalone,79.4,7.98,11.8,71.1,Medium
AAI-01832,Energy,Large,Risk & Compliance,Early,Knowledge Management Agent,Policy Monitoring,Low,Rule-based,20.0,Simple,High,High,Yes,Standalone,64.2,2.3,3.2,67.3,Low
AAI-01833,Technology,Large,Marketing,Leading,Decision Support Agent,Lead Qualification,High,Hybrid,73.6,Complex,Low,Low,No,Enterprise-wide,73.4,11.95,14.7,41.3,Medium
AAI-01834,Education,Large,Strategy,Developing,Executive Assistant Agent,Competitive Intelligence,Medium,Rule-based,40.6,Simple,Medium,Medium,Yes,API-based,80.6,8.2,14.6,77.7,High
AAI-01835,Financial Services,Enterprise,Finance,Advanced,Knowledge Management Agent,Financial Forecasting,Medium,Hybrid,64.3,Moderate,Medium,Medium,Yes,API-based,84.9,8.47,18.5,73.9,High
AAI-01836,Healthcare,Small,IT,Advanced,Workflow Automation Agent,System Monitoring,High,ML-based,73.0,Complex,Low,Low,Yes,API-based,73.5,7.96,19.1,45.8,Medium
AAI-01837,Telecommunications,Small,Operations,Developing,Decision Support Agent,Process Automation,Medium,Rule-based,52.7,Simple,Medium,High,Yes,Standalone,84.7,7.88,17.5,75.7,Medium
AAI-01838,Technology,Medium,Finance,Early,Workflow Automation Agent,Procurement Optimization,Low,Hybrid,25.4,Simple,High,High,Yes,Standalone,76.1,3.23,11.3,77.8,Low
AAI-01839,Retail,Small,Customer Experience,Developing,Executive Assistant Agent,Service Personalization,Medium,ML-based,62.2,Moderate,Medium,Medium,Yes,Standalone,71.2,7.91,9.6,59.7,Medium
AAI-01840,Education,Large,Operations,Developing,Talent Intelligence Agent,Process Automation,Medium,Rule-based,42.3,Simple,Low,Medium,Yes,API-based,78.2,8.27,16.3,62.5,Medium
AAI-01841,Professional Services,Large,Operations,Developing,Decision Support Agent,Process Automation,Low,ML-based,44.4,Simple,High,Medium,Yes,Standalone,73.2,5.81,7.2,70.3,Low
AAI-01842,Financial Services,Large,Marketing,Developing,Talent Intelligence Agent,Lead Qualification,Medium,Rule-based,43.0,Moderate,Medium,Medium,Yes,Enterprise-wide,86.6,7.96,19.2,82.3,Medium
AAI-01843,Telecommunications,Large,Operations,Developing,Workflow Automation Agent,Process Automation,High,Hybrid,46.9,Moderate,Low,Low,Yes,API-based,72.5,7.33,14.5,55.2,Medium
AAI-01844,Manufacturing,Medium,Operations,Early,Decision Support Agent,Operational Monitoring,Low,Rule-based,25.3,Simple,High,High,Yes,Standalone,59.4,5.32,4.3,67.9,Low
AAI-01845,Technology,Large,Strategy,Advanced,Workflow Automation Agent,Strategic Planning,High,Hybrid,70.5,Complex,Low,Low,Yes,API-based,77.5,11.75,16.5,52.7,Medium
AAI-01846,Financial Services,Enterprise,Customer Experience,Developing,Decision Support Agent,Feedback Analysis,Medium,ML-based,62.8,Complex,Medium,Medium,Yes,Enterprise-wide,66.0,9.77,12.4,65.3,Medium
AAI-01847,Government,Large,CEO Office,Early,Workflow Automation Agent,Strategic Planning,Low,ML-based,22.8,Simple,High,Medium,Yes,API-based,66.3,4.27,4.1,62.8,Low
AAI-01848,Manufacturing,Enterprise,Operations,Developing,Executive Assistant Agent,Workflow Orchestration,High,Rule-based,41.6,Moderate,Low,Medium,Yes,API-based,75.0,9.81,15.7,67.4,Medium
AAI-01849,Retail,Medium,Finance,Advanced,Decision Support Agent,Procurement Optimization,High,Hybrid,64.7,Moderate,Low,Low,Yes,Enterprise-wide,79.7,8.79,22.1,67.3,High
AAI-01850,Technology,Medium,Strategy,Developing,Knowledge Management Agent,Strategic Planning,Medium,Rule-based,25.4,Moderate,Medium,High,Yes,API-based,69.6,6.15,10.8,73.1,High
AAI-01851,Energy,Small,Operations,Developing,Strategy Insights Agent,Demand Forecasting,Medium,Hybrid,62.2,Moderate,High,Medium,Yes,API-based,87.8,9.43,17.0,72.6,Medium
AAI-01852,Technology,Large,Customer Experience,Developing,Workflow Automation Agent,Customer Support,Medium,ML-based,67.0,Moderate,Medium,Medium,No,Enterprise-wide,63.9,7.53,11.3,48.2,Medium
